NOMPSN;PREPSN;DATNAIPSN;SEXPSN;CODPRO;EFFECTIF_LEGAL;CODDPT;CODCOM;CODSEQSECTELE;CODE_NUANCE_DE_LISTE;CODE_PERSONNALITE;TOUR_ELECTION
LEE EPOUSE TRINQUIER;Marie-Laure Vaea;1965-05-11;F;21;15;987;98711;98711SN01;;;élu T2
YIP;Calixte Robert Teroki;1951-07-29;M;22;15;987;98711;98711SN01;;;élu T2
TEVAITAU ÉPSE TERAI;Clarisse Moeata;1981-10-22;F;21;15;987;98711;98711SN01;;;élu T2
MATAI;Maima Valentine;1978-07-25;F;21;15;987;98711;98711SN01;;;élu T2
WILLIAMS;Tavi Christian;1964-05-27;M;21;15;987;98711;98711SN01;;;élu T2
TUHAKAMARU;Hekenoa Pebino;1963-02-21;M;85;15;987;98711;98711SN01;;;élu T2
TAUTU BURNS;Sabine Taumuri;1968-01-24;F;21;15;987;98711;98711SN01;;;élu T2
BURNS;Léonne Teriihoanuu;1978-10-14;F;21;15;987;98711;98711SN01;;;élu T2
TEURI;Hauroa Roger;2003-02-05;M;85;15;987;98711;98711SN02;;;élu T2
TEATA;Michel;1952-08-23;M;22;15;987;98711;98711SN02;;;élu T2
HAAPII;Basile;1956-06-17;M;22;15;987;98711;98711SN02;;;élu T2
WILLIAMS;Fernand Fariua;1967-04-17;M;11;15;987;98711;98711SN02;;;élu T2
TUFAUNUI;Léonard Reonari;1960-11-06;M;21;15;987;98711;98711SN02;;;élu T2
WILLIAMS;Joseph Vitua;1972-11-06;M;11;15;987;98711;98711SN02;;;élu T2
TETOOFA;Rémi Tekehu;1966-10-01;M;21;15;987;98711;98711SN02;;;élu T2
FAUURA;Samuel;1968-05-10;M;85;;987;98713;98713SN01;;;élu T2
CAO;Laurina;1992-04-23;F;85;;987;98713;98713SN01;;;élu T2
TUPAHURURU;Iko;1960-06-03;M;77;;987;98713;98713SN01;;;élu T2
PIEHI;Erani;1986-08-06;F;85;;987;98713;98713SN01;;;élu T2
TEVARIA;Petero;1962-12-04;M;77;;987;98713;98713SN01;;;élu T2
TAPUTUARAI;Reupena;1972-06-30;M;23;;987;98713;98713SN02;;;élu T2
PARKER;Huirai;1981-09-13;F;85;;987;98713;98713SN02;;;élu T2
TOMARU;Manuarii;1974-02-25;M;85;;987;98713;98713SN02;;;élu T2
ELLIS;Jenny;1972-06-20;F;85;;987;98713;98713SN02;;;élu T2
REHUA;Jean-Pierre;1978-05-20;M;23;;987;98713;98713SN02;;;élu T2
NATUA;Angèle;1976-03-09;F;23;;987;98713;98713SN02;;;élu T2
NAUTA;Tereriha;1956-11-03;M;86;;987;98713;98713SN02;;;élu T2
ROI;Teuruna;1980-12-13;F;23;;987;98713;98713SN02;;;élu T2
FAUURA;Andy;1973-12-14;M;85;;987;98713;98713SN02;;;élu T2
PUKOKI;Wandy;1967-10-22;F;77;;987;98713;98713SN03;;;élu T2
LAINÉ;Roland;1964-01-07;M;86;;987;98713;98713SN03;;;élu T2
TAUIRA;Balza;1971-10-08;F;85;;987;98713;98713SN03;;;élu T2
TUPAHURURU;Paehenua;1960-03-27;M;77;;987;98713;98713SN03;;;élu T2
BELLAIS;Celine;1999-07-01;F;85;;987;98713;98713SN03;;;élu T2
MARO;Etienne;1959-11-01;M;77;;987;98716;98716SN01;;;élu T2
TEPEA;Marguerite;1994-02-01;F;85;;987;98716;98716SN01;;;élu T2
TOKORAGI;Naea;1959-07-25;M;77;;987;98716;98716SN01;;;élu T2
TEIVA;Diana;1974-09-18;F;81;;987;98716;98716SN01;;;élu T2
WILLIAMS;Jean-Paul;1987-04-27;M;85;;987;98716;98716SN01;;;élu T2
FAREEA;Eritapeta;1961-12-01;F;86;;987;98716;98716SN01;;;élu T2
SNOW;Tamatea;1986-06-20;M;23;;987;98716;98716SN01;;;élu T2
VANAA;Marguerite;1978-05-25;F;43;;987;98716;98716SN01;;;élu T2
MAIROTO;James;1975-02-08;M;55;;987;98716;98716SN01;;;élu T2
TEIKIOTIU;Teononui O Tiu Alexandre;1996-03-29;M;52;;987;98716;98716SN01;;;élu T2
TENIARAHI;Célina Tekare;1988-07-09;F;45;;987;98716;98716SN01;;;élu T2
TAINOA;David;1963-08-25;M;77;;987;98716;98716SN02;;;élu T2
VAIHO ÉPOUSE AGNIERAY;Colette;1977-03-06;F;23;;987;98716;98716SN02;;;élu T2
TAPI;Cyril;1976-10-05;M;11;;987;98716;98716SN02;;;élu T2
TAIMANA;Henriette;1963-10-14;F;77;;987;98716;98716SN02;;;élu T2
WILLIAMS;Tauiratea;1982-03-13;M;85;;987;98716;98716SN02;;;élu T2
TAUHIRO;Mathilda;1984-01-28;F;72;;987;98716;98716SN02;;;élu T2
EBB;Punuarii;1983-07-02;M;22;;987;98716;98716SN03;;;élu T2
FAREEA;Frida;1975-04-27;F;21;;987;98716;98716SN03;;;élu T2
HAPIPI;Tunui Rogatien;1975-08-03;M;33;11;987;98717;98717SN01;;;élu T2
TEFAU;Sergio Tehani;1976-04-29;M;21;11;987;98717;98717SN01;;;élu T2
TORIKI;Rosella Pare;1962-06-23;F;77;11;987;98717;98717SN01;;;élu T2
IOANE;Ghislaine Isabelle Raita;1981-10-24;F;22;11;987;98717;98717SN01;;;élu T2
MARUAKE;Albert Mapu;1976-06-19;M;12;11;987;98717;98717SN01;;;élu T2
TAMU;Agnés Teraiefa;1988-01-02;F;21;11;987;98717;98717SN01;;;élu T2
DIAZ;André;1976-02-07;M;11;11;987;98717;98717SN02;;;élu T2
SHAN;Catherine;1988-12-21;F;21;11;987;98717;98717SN02;;;élu T2
